id	prompt	waveId	transcription	recResult	language	meaning	edition	category
573	Sag: Ich möchte am Donnerstagnachmittag abreisen	user-45_2014-11-06_19-16-32_utt_080	i want to leave on thursday afternoon	i want to leave on thursday afternoon	1	1	ST2	A
593	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-06_19-16-32_utt_105	i'd like to pay by credit card	i'd like to pay by credit card	1	1	ST2	A
594	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-06_19-16-32_utt_106	i'd like to pay by credit card	i would like to pay by credit card	1	1	ST2	A
608	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-08_19-38-17_utt_017	i'd like to pay by mastercard	i would like to pay by mastercard	1	1	ST2	A
629	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-08_19-38-17_utt_044	i'd like to pay by mastercard	i'd like to pay by mastercard	1	1	ST2	A
630	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-08_19-38-17_utt_045	i'd like to pay by mastercard	i would like to pay by mastercard	1	1	ST2	A
631	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-08_19-38-17_utt_046	can i pay by mastercard	can i pay by mastercard	1	1	ST2	A
640	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-08_19-38-17_utt_057	i'd like to pay by credit card	i'd like to pay by credit card	1	1	ST2	A
720	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-09_11-28-41_utt_023	i'd like to pay by post card	i'd like to pay by post card	1	1	ST2	A
731	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-09_11-28-41_utt_038	i'd like to pay by post card	i'd like to pay by post card	1	1	ST2	A
740	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-09_11-28-41_utt_050	i'd like to pay by post card	i'd like to pay by post card	1	1	ST2	A
749	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-09_11-28-41_utt_061	i'd like to pay by mastercard	i'd like to pay by mastercard	1	1	ST2	A
760	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-09_11-28-41_utt_076	i'd like to pay by credit card	i'd like to pay by credit card	1	1	ST2	A
777	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-19_11-17-56_utt_008	can i pay by post card	can i pay by post card	1	1	ST2	A
784	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-19_11-17-56_utt_019	i'd like to pay by post card	i'd like to pay by post card	1	1	ST2	A
802	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-17-56_utt_067	can i pay by mastercard	can i pay by mastercard	1	1	ST2	A
811	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-19_11-17-56_utt_081	can i pay by post card	can i pay by post card	1	1	ST2	A
821	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_008	can i pay by mastercard	can i pay by mastercard	1	1	ST2	A
823	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_010	can i pay by mastercard	can i pay by mastercard	1	1	ST2	A
833	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_022	can i pay by credit card	where can i pay by credit card	1	1	ST2	A
837	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-19_11-50-52_utt_029	can i pay by post card	can i pay with post card	1	1	ST2	A
863	Sag: Ich möchte am Freitagabend gehen	user-45_2014-11-19_11-50-52_utt_065	i'd like to go on friday evening	i would like to go on friday evening	1	1	ST2	A
866	Sag: Ich möchte in der ersten Reihe sitzen	user-45_2014-11-19_11-50-52_utt_068	i want to sit in the front row	i want to sit in the from row	1	1	ST2	A
867	Sag: Ich möchte in der ersten Reihe sitzen	user-45_2014-11-19_11-50-52_utt_069	i want to sit in the front row	i want to sit in the second row	1	1	ST2	A
911	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_128	can i pay by mastercard	can i pay with mastercard	1	1	ST2	A
912	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_129	i'd like to pay by mastercard	i'm going to tuesday mastercard	1	1	ST2	A
943	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_168	i'd like to pay by mastercard	i'd like to pay by mastercard	1	1	ST2	A
952	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_182	i'd like to pay by credit card	i'd like to pay by credit card	1	1	ST2	A
962	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_196	i'd like to pay by credit card	i'd like to pay by credit card	1	1	ST2	A
972	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-19_11-50-52_utt_210	can i pay by post card	can i pay with post card	1	1	ST2	A
981	Sag: Ich möchte nächste Woche abreisen	user-45_2014-11-19_11-50-52_utt_223	i want to leave next week	i want to leave next room	1	1	ST2	A
982	Sag: Ich möchte nächste Woche abreisen	user-45_2014-11-19_11-50-52_utt_224	i want to leave next week	i want to leave next room	1	1	ST2	A
1001	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_251	can i pay by credit card	can i pay by credit card	1	1	ST2	A
1004	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_11-50-52_utt_256	can i pay by visa	can i pay by visa	1	1	ST2	A
1005	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_11-50-52_utt_257	i'd like to pay by visa	i'd like to pay by visa	1	1	ST2	A
1006	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_11-50-52_utt_258	i'd like to pay by visa	i'd like to pay with visa	1	1	ST2	A
1008	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_262	i'd like to pay by mastercard	i'd like to pay by mastercard	1	1	ST2	A
1011	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_267	i'd like to pay by mastercard	i'd like to pay by mastercard	1	1	ST2	A
1014	Sag: Ich möchte mit Euros bezahlen	user-45_2014-11-19_11-50-52_utt_270	i'd like to pay with euros	i'd like to pay with euros	1	1	ST2	A
1030	Sag: Ich möchte in der ersten Reihe sitzen	user-45_2014-11-19_11-50-52_utt_292	i want to sit in the first row	i want to sit in the first boots	1	1	ST2	A
1048	Sag: Ich möchte in der vierten Reihe sitzen	user-45_2014-11-19_11-50-52_utt_316	i'd like to sit in the fourth row*z	i'd like to sit in the card blue	1	1	ST2	A
1068	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_341	i'd like to pay by credit card	i'd like to pay by credit card	1	1	ST2	A
1084	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_11-50-52_utt_361	i'd like to pay by visa	i'd like to pay by visa	1	1	ST2	A
1096	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-19_11-50-52_utt_376	i'd like to pay by post card	i'd like to pay by post card	1	1	ST2	A
1108	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_391	i'd like to pay by credit card	i'd like to pay with credit card	1	1	ST2	A
1170	Sag: Ich möchte am Samstagnachmittag abreisen	user-45_2014-11-19_16-32-57_utt_003	i want to leave on saturday afternoon	i want to leave on saturday afternoon	1	1	ST2	A
1174	Sag: Ich möchte am Sonntag abreisen	user-45_2014-11-19_16-32-57_utt_010	i'd like to leave on sunday	i would like to leave on sunday	1	1	ST2	A
1192	Sag: Ich möchte um 15 Uhr morgen abreisen	user-45_2014-11-19_16-32-57_utt_036	i'd like to leave at three o'clock tomorrow	i'd like to leave at eight o'clock tomorrow	1	1	ST2	A
1230	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_16-32-57_utt_090	i'd like to pay by visa	i'd like to pay by visa	1	1	ST2	A
1232	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-19_16-32-57_utt_095	i'd like to pay by post card	i'd like to pay with post card	1	1	ST2	A
1269	Sag: Ich möchte mit Visa bezahlen	user-46_2014-10-29_15-43-47_utt_023	can i pay with visa*z	can i pay with visa	1	1	ST2	A
1290	Sag: Ich möchte mit Postkarte bezahlen	user-46_2014-11-09_13-24-17_utt_016	i would like to pay by post card	i would like to pay by post card	1	1	ST2	A
1314	Sag: Ich möchte mit Visa bezahlen	user-46_2014-11-09_13-24-17_utt_050	can i pay with visa	can i pay with visa	1	1	ST2	A
1317	Sag: Ich möchte mit Dollars bezahlen	user-46_2014-11-09_13-24-17_utt_055	i want to pay with dollars	i want to pay with dollars	1	1	ST2	A
1319	Sag: Ich möchte mit Dollars bezahlen	user-46_2014-11-09_13-24-17_utt_057	can i pay with dollars	can i pay with dollars	1	1	ST2	A
1322	Sag: Ich möchte heute Abend gehen	user-46_2014-11-09_13-24-17_utt_062	i want to go this evening	i want to go this evening	1	1	ST2	A
1324	Sag: Ich möchte in der fünften Reihe sitzen	user-46_2014-11-09_13-24-17_utt_065	i would like to sit in the fifth row	i would like to sit in the fifth row	1	1	ST2	A
1330	Sag: Ich möchte am Donnerstagabend gehen	user-46_2014-11-09_13-24-17_utt_076	i would like to go on thursday evening	i would like to go on thursday evening	1	1	ST2	A
1335	Sag: Ich möchte in der ersten Reihe sitzen	user-46_2014-11-09_13-24-17_utt_082	i want to sit in the first row	i want to sit in the first row	1	1	ST2	A
1347	Sag: Ich möchte mit Dollars bezahlen	user-46_2014-11-09_13-24-17_utt_100	i want to pay with dollars	i want to pay with dollars	1	1	ST2	A
1348	Sag: Ich möchte mit Dollars bezahlen	user-46_2014-11-09_13-24-17_utt_101	can i pay with dollars	can i pay with dollars	1	1	ST2	A
1359	Sag: Ich möchte mit Visa bezahlen	user-46_2014-11-09_13-24-17_utt_118	can i pay with visa	can i pay with visa	1	1	ST2	A
1360	Sag: Ich möchte mit Euros bezahlen	user-46_2014-11-09_13-24-17_utt_119	can i pay with euros	can i pay with euros	1	1	ST2	A
1393	Sag: Ich möchte am Freitag abreisen	user-46_2014-11-09_13-24-17_utt_165	i would like to leave on friday	i would like to leave on friday	1	1	ST2	A
1448	Sag: Ich möchte am Donnerstagabend abreisen	user-46_2014-11-11_14-37-09_utt_018	i would like to leave on thursday evening	i would like to leave on thursday evening	1	1	ST2	A
1454	Sag: Ich möchte am Mittwochabend gehen	user-46_2014-11-11_14-37-09_utt_026	i would like to go on wednesday*z evening	i would like to go on wednesday evening	1	1	ST2	A
1458	Sag: Ich möchte in der zehnten Reihe sitzen	user-46_2014-11-11_14-37-09_utt_030	i would like to sit in the tenth row	i would like to sit in the tenth row	1	1	ST2	A
1463	Sag: Ich möchte mit Visa bezahlen	user-46_2014-11-11_14-37-09_utt_037	can i pay with visa*z	can i pay with visa	1	1	ST2	A
1465	Sag: Ich möchte mit Mastercard bezahlen	user-46_2014-11-11_14-37-09_utt_041	i would like to pay with mastercard	i would like to pay with mastercard	1	1	ST2	A
1467	Sag: Ich möchte mit Mastercard bezahlen	user-46_2014-11-11_14-37-09_utt_045	i would like to pay with mastercard	i would like to pay with mastercard	1	1	ST2	A
1469	Sag: Ich möchte am Montagmorgen abreisen	user-46_2014-11-11_14-37-09_utt_048	i would like to leave uh monday morning	i would like to leave at monday morning	1	1	ST2	A
1473	Sag: Ich möchte um 21 Uhr morgen abreisen	user-46_2014-11-11_14-37-09_utt_056	i would like to leave tomorrow at nine p m	i would like to leave tomorrow at nine pm	1	1	ST2	A
1495	Sag: Ich möchte mit Visa bezahlen	user-48_2014-11-09_11-22-37_utt_007	can i pay with visa	can i pay with visa	1	1	ST2	A
1503	Sag: Ich möchte mit Mastercard bezahlen	user-48_2014-11-09_11-22-37_utt_021	can i pay with mastercard	can i pay with mastercard	1	1	ST2	A
1513	Sag: Ich möchte morgen abreisen	user-48_2014-11-09_11-22-37_utt_040	i would like to leave tomorrow	i would like to leave tomorrow	1	1	ST2	A
1517	Sag: Ich möchte um 21 Uhr morgen abreisen	user-48_2014-11-09_11-22-37_utt_046	i want to leave at nine o'clock tomorrow	i want to leave at nine o'clock tomorrow	1	1	ST2	A
1542	Sag: Ich möchte mit Mastercard bezahlen	user-48_2014-11-14_15-39-25_utt_009	i'd like to pay with mastercard	i'd like to pay with mastercard	1	1	ST2	A
1551	Sag: Ich möchte mit Kreditkarte bezahlen	user-48_2014-11-14_15-39-25_utt_020	can i pay by credit card	can i pay by credit card	1	1	ST2	A
1557	Sag: Ich möchte heute Abend gehen	user-48_2014-11-14_15-39-25_utt_036	i want to go this evening	i want to go this evening	1	1	ST2	A
1560	Sag: Ich möchte in der achten Reihe sitzen	user-48_2014-11-14_15-39-25_utt_039	i want to sit in the eighth row	i want to sit in the eighth row	1	1	ST2	A
1574	Sag: Ich möchte am Samstagabend abreisen	user-49_2014-11-02_17-58-17_utt_026	i would like to leave on saturday evening*z	i would like to leave on saturday evening	1	1	ST2	A
1580	Sag: Ich möchte am Samstagabend abreisen	user-50_2014-11-11_16-10-10_utt_005	i would like to leave on saturday evening	i would like to leave on saturday evening	1	1	ST2	A
1586	Sag: Ich möchte mit Mastercard bezahlen	user-50_2014-11-11_16-10-10_utt_013	can i pay with mastercard	can i pay with mastercard	1	1	ST2	A
1587	Sag: Ich möchte mit Mastercard bezahlen	user-50_2014-11-11_16-10-10_utt_014	i would like to pay with mastercard	i would like to pay with mastercard	1	1	ST2	A
1596	Sag: Ich möchte in der dritten Reihe sitzen	user-50_2014-11-11_16-10-10_utt_025	i want to sit in the third row	i want to sit in the fourth row	1	1	ST2	A
1608	Sag: Ich möchte mit Postkarte bezahlen	user-50_2014-11-11_16-10-10_utt_039	i would like to pay with post card	i would like to pay with post card	1	1	ST2	A
1622	Sag: Ich möchte mit Postkarte bezahlen	user-50_2014-11-11_16-10-10_utt_063	i w*a want to pay with post card	i want to pay with post card	1	1	ST2	A
1623	Sag: Ich möchte mit Postkarte bezahlen	user-50_2014-11-11_16-10-10_utt_064	i would like to pay by post card	i would like to pay by post card	1	1	ST2	A
1625	Sag: Ich möchte mit Euros bezahlen	user-50_2014-11-11_16-10-10_utt_066	can i pay with euros	can i pay with euros	1	1	ST2	A
1644	Sag: Ich möchte mit Kreditkarte bezahlen	user-51_2014-11-10_16-11-09_utt_010	can i pay by credit card	can i pay by credit card	1	1	ST2	A
1658	Sag: Ich möchte mit Kreditkarte bezahlen	user-51_2014-11-10_16-11-09_utt_032	can i pay by credit card please	can i pay by credit card please	1	1	ST2	A
1673	Sag: Ich möchte am Dienstagnachmittag abreisen	user-51_2014-11-10_16-11-09_utt_057	i would like to leave on tuesday afternoon	i would like to leave on tuesday afternoon	1	1	ST2	A
1683	Sag: Ich möchte am Mittwochmorgen abreisen	user-51_2014-11-10_16-11-09_utt_072	i want to leave on wednesday morning	i want to leave on wednesday morning	1	1	ST2	A
1687	Sag: Ich möchte morgen abreisen	user-51_2014-11-10_16-11-09_utt_079	i would like to leave tomorrow	i would like to leave tomorrow	1	1	ST2	A
1733	Sag: Ich möchte am Mittwochabend gehen	user-51_2014-11-10_16-11-09_utt_142	i would like to go on wednesday evening	i would like to go on wednesday evening	1	1	ST2	A
1751	Sag: Ich möchte mit Postkarte bezahlen	user-51_2014-11-10_16-11-09_utt_163	i would like to pay by post*z card	i would like to pay by post card	1	1	ST2	A
1807	Sag: Ich möchte mit Visa bezahlen	user-51_2014-11-16_15-47-21_utt_005	can i pay by visa	can i pay by visa	1	1	ST2	A
1891	Sag: Ich möchte mit Kreditkarte bezahlen	user-51_2014-11-16_15-54-14_utt_111	i would like to pay by credit card	i would like pay by credit card	1	1	ST2	A
1933	Sag: Ich möchte mit Mastercard bezahlen	user-56_2014-11-06_16-32-06_utt_019	i would like to pay with mastercard	i would like to pay with mastercard	1	1	ST2	A
1942	Sag: Ich möchte mit Mastercard bezahlen	user-56_2014-11-06_16-32-06_utt_033	i would like to pay with mastercard	i would like to pay with mastercard	1	1	ST2	A
1943	Sag: Ich möchte mit Dollars bezahlen	user-56_2014-11-06_16-32-06_utt_034	i would like to pay with dollars	i would like to pay with dollars	1	1	ST2	A
1950	Sag: Ich möchte mit Schweizer Franken bezahlen	user-56_2014-11-06_16-32-06_utt_043	i would like to pay with swiss ah francs	i want a suite	1	1	ST2	A
1951	Sag: Ich möchte mit Schweizer Franken bezahlen	user-56_2014-11-06_16-32-06_utt_044	can i pay with swiss francs	can i pay with swiss francs	1	1	ST2	A
1963	Sag: Ich möchte mit Postkarte bezahlen	user-56_2014-11-06_16-32-06_utt_064	i would like to pay with postcard	younger post card	1	1	ST2	A
1971	Sag: Ich möchte mit Visa bezahlen	user-57_2014-10-24_17-52-51_utt_015	can i pay with visa	can i pay with visa	1	1	ST2	A
1976	Sag: Ich möchte am Donnerstagnachmittag abreisen	user-57_2014-10-24_17-52-51_utt_022	i would like to leave on thursday afternoon	i would like to leave on saturday	1	1	ST2	A
1991	Sag: Ich möchte in der zweiten Reihe sitzen	user-57_2014-10-24_17-52-51_utt_043	i would like to sit in the second row	i would like to sit in the second row	1	1	ST2	A
2044	Sag: Ich möchte um 19 Uhr morgen abreisen	user-57_2014-10-25_10-33-52_utt_006	i would like to leave tomorrow at seven pm	i would like to leave tomorrow at seven pm	1	1	ST2	A
2065	Sag: Ich möchte in der fünften Reihe sitzen	user-57_2014-10-25_10-33-52_utt_034	i would like to sit in the fifth row	i would like to sit in the fifth row	1	1	ST2	A
2105	Sag: Ich möchte mit Visa bezahlen	user-57_2014-10-25_10-33-52_utt_094	can i pay with visa	can i pay with visa	1	1	ST2	A
2116	Sag: Ich möchte am Montagnachmittag abreisen	user-57_2014-10-30_18-43-25_utt_004	i want to leave on monday afternoon	i want to leave on monday afternoon	1	1	ST2	A
2126	Sag: Ich möchte mit Visa bezahlen	user-57_2014-10-30_18-43-25_utt_019	can i pay with visa	can i pay with visa	1	1	ST2	A
2128	Sag: Ich möchte am Samstagabend gehen	user-57_2014-10-30_18-43-25_utt_023	i would like to go on saturday evening	i would like to go on thursday evening	1	1	ST2	A
2167	Sag: Ich möchte mit Kreditkarte bezahlen	user-57_2014-11-03_11-23-59_utt_008	can i pay by credit card	can i pay by credit card	1	1	ST2	A
2185	Sag: Ich möchte mit Postkarte bezahlen	user-57_2014-11-03_11-23-59_utt_033	can i pay with post card	can i pay with post card	1	1	ST2	A
